username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
najamulsaqib,add,2073,1053,32802,51760,19118,13684,23670,28090
shizotoaster,add,139,172,97186,48713,63756,33430,35360,13353
Zomby7e,add,516,37,2786,3139,2331,455,2300,839
harsh52,add,221,249,73814,25734,59395,14419,20140,5594
Fooftilly,add,1006,77,1019646,10097,537596,482050,9047,1050
nickberckley,add,230,170,28023,22883,19645,8378,14006,8877
andrewslotin,add,330,8,37836,189,23082,14754,80,109
ss-o,add,122,130,43567,127189,19833,23734,92648,34541
Xevrac,add,289,106,331934,231421,233903,98031,190818,40603
Yifinity,add,36,29,6691,1333303,6260,431,1122819,210484
rbalman,add,565,86,130335,147353,68089,62246,23799,123554
mammaddrik,add,144,370,52655,1061,51096,1559,504,557
Ujjawal0619,add,18,12,11953,2348,11810,143,2169,179
kevinthedang,add,136,36,25162,5121,18876,6286,2541,2580
kawzbit,add,10,13,23314,4984,22747,567,4784,200
emintavlayan,add,820,446,471608,57989,219737,251871,39658,18331
fluffiflower,add,504,998,25639,5745,14436,11203,3837,1908
Rigil-Kent,add,5833,692,122637,136067,75933,46704,120952,15115
pmscheffler,add,35,47,1607,3356,1187,420,3233,123
parvanesh,add,4192,5,22984,215,17668,5316,210,5
alphayellow1,add,529,863,4636889,29426,4629380,7509,23893,5533
hossamemara,add,52,33,92862,9596,92667,195,7954,1642
CyraxSector,add,7181,6989,7472,2945,6868,604,2024,921
ethernal-serenade,add,191,6,11607,443,7579,4028,211,232
Symstract,add,9,13,1210,44957,1108,102,44667,290
JamesGelok,add,16,6,79092,13,76763,2329,5,8
JaseGrable,add,17,23,3525,20699,2193,1332,20339,360
pawpilledx,add,271,206,3804,6597,2912,892,2902,3695
SiggiSmara,add,41,129,10577,242008,7962,2615,236257,5751
MRGonzalez1990,add,39,20,3686,50,3669,17,35,15
grodasgomez,add,22,22,8667,4145,7340,1327,3638,507
sambetts,add,28,67,35695,113900,34312,1383,51030,62870
timhendriks93,add,39,30,12202,20845,7071,5131,11994,8851
rturk,add,53,10,117266,27404,99779,17487,14488,12916
taqiabdulaziz,add,195,32,6451,5257,4207,2244,3275,1982
icodeface,add,9,15,321,636,229,92,568,68
dmerrick,add,19,5,605,2900,396,209,60,2840
olea,add,235,77,624370,631074,604587,19783,622314,8760
aridutilh,add,4268,1395,102152,169475,91334,10818,151556,17919
nuxshed,add,85,52,15993,34626,8389,7604,32974,1652
joaovtacabral,add,32,26,3211,2552,2833,378,1665,887
zfkuang,add,139,12,47584,23933,45510,2074,23697,236
Max-Makhrov,add,129,30,70505,916,49624,20881,675,241
nkozyra,add,33,7,9279,117,7381,1898,110,7
gitgik,add,55,5,3436,7420,2379,1057,6419,1001
anyneko,add,1795,595,14695,12626,11644,3051,11093,1533
luanbitar,add,36,5,2299,58,2032,267,31,27
NEKOparapa,add,680,876,393937,1267664,377898,16039,947821,319843
Charrrrrlie,add,23,14,10809,12065,9134,1675,12019,46
njanirudh,add,16,29,382,1193,289,93,985,208
cheekujodhpur,add,26,21,47161,38752,45461,1700,16015,22737
ZahraTee,add,87,52,51325,12315,49875,1450,9681,2634
WouterTinus,add,56283,67369,38383,8538,20917,17466,8179,359
OpenROADM,add,49,54,29927,98030,27885,2042,74999,23031
hilen,add,149,79,22674,40462,11454,11220,28405,12057
CastagnaIT,add,427,73,21923,27592,13204,8719,22613,4979
binux,add,8,1771,1020,30461,662,358,18501,11960
Larsh512,autism,44,96,9820,53695,9503,317,48865,4830
d1vasaa,autism,12,14,297095,1130,297037,58,1114,16
kirknguyenle,autism,36,35,434315,952791,430396,3919,928750,24041
Dhruv00000,autism,77,44,7099,6163,5882,1217,5056,1107
johnmurrayfreedom,autism,5247,12,69327,107772,57483,11844,107771,1
shubhampatel06,autism,10,25,19422,16060,19328,94,15962,98
kthamessr,autism,11,20,103,3288,56,47,2933,355
YoShibyl,autism,92,31,15144,13646,11022,4122,10531,3115
Zelif-773,autism,21,51,1471,10732,1407,64,7240,3492
akumar21021,autism,15,8,347,484,294,53,484,0
vfeliu04,autism,25,81,190700,8236,190637,63,4858,3378
s0m31unkn0wn,autism,12,17,4249,9422,4245,4,7363,2059
Psvita538,autism,18,38,216,424,209,7,418,6
augustoreyesdelgado,autism,55,19,46626,1189,44897,1729,851,338
vily70153,autism,7,52,898,15040,447,451,13328,1712
Skinnoying,autism,51,33,969,5034,647,322,4856,178
ShazedaOni,autism,132,22,219859,4052,219321,538,4003,49
lxndrptkv,autism,1712,203,13671,36620,11944,1727,15683,20937
luogenomics,autism,40,34,11819,7335,9803,2016,6553,782
Sri200519,autism,54,102,13947,91461,13215,732,86261,5200
Just-Leah,autism,97,79,80067,10681,41642,38425,6799,3882
deldotbrain,autism,436,166,2177,5568,1564,613,3272,2296
Dur4ndal,autism,29,8,169,816,138,31,545,271
