username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
bukankaleng,add,0,0,0,0,0,0,0,0
WisadeI,add,0,8,0,43,0,0,22,21
alphabim,add,0,0,0,0,0,0,0,0
patrickclery,add,26,115,6340,280582,5806,534,168964,111618
VTEAMBOT,add,122,0,377428,0,272122,105306,0,0
tungd776,add,4828,0,61039,0,42278,18761,0,0
emintavlayan,add,820,446,471608,57989,219737,251871,39658,18331
jadeehs,add,0,0,0,0,0,0,0,0
fluffiflower,add,504,998,25639,5745,14436,11203,3837,1908
JASEpstein,add,0,0,0,0,0,0,0,0
jrchew15,add,1,0,1771,0,1771,0,0,0
soydachi,add,0,83,0,152786,0,0,93402,59384
kessio,add,449,0,95228,0,67636,27592,0,0
Hanxbeen,add,677,2,62508,2552,38462,24046,2552,0
craigminihan,add,21183,9921,4787,6471,3079,1708,332,6139
youtubetomp3converterapi,add,0,0,0,0,0,0,0,0
Rigil-Kent,add,5833,692,122637,136067,75933,46704,120952,15115
hucodelab,add,197,0,766549,0,69716,696833,0,0
uknity,add,0,0,0,0,0,0,0,0
bjy,add,0,0,0,0,0,0,0,0
Mezirix,add,47,24,1439805,2939,18076,1421729,2681,258
m-01101101,add,8,0,6418,0,6411,7,0,0
pmscheffler,add,35,47,1607,3356,1187,420,3233,123
caiohenrique-developer,add,0,78,0,31159,0,0,28741,2418
ntchjb,add,66,0,50373,0,43787,6586,0,0
Venbunn,add,0,0,0,0,0,0,0,0
Boookasa,add,0,0,0,0,0,0,0,0
parvanesh,add,4192,5,22984,215,17668,5316,210,5
ApolloJuice,add,2,0,14,0,7,7,0,0
shanyeyy,add,0,0,0,0,0,0,0,0
puppetm4st3r,add,490,542,53365,87205,39156,14209,66377,20828
mbarakaja,add,0,0,0,0,0,0,0,0
Admmzzz,add,0,0,0,0,0,0,0,0
CodeWarrior-debug,add,0,39,0,21372,0,0,20674,698
alphayellow1,add,529,863,4636889,29426,4629380,7509,23893,5533
mcsheehan,add,5,0,224,0,222,2,0,0
resurrectionofsoul,add,0,0,0,0,0,0,0,0
H0N3YY,add,22,2,154,455,72,82,454,1
huong-li-nguyen,add,819,7,101870,257,47872,53998,145,112
hossamemara,add,52,33,92862,9596,92667,195,7954,1642
tgeczy,add,54,27,7203,4292,4839,2364,4080,212
cjack0416,add,0,11,0,583,0,0,501,82
charnaye95,add,0,1,0,3,0,0,0,3
CyraxSector,add,7181,6989,7472,2945,6868,604,2024,921
brandon-maxwell,add,0,0,0,0,0,0,0,0
ethernal-serenade,add,191,6,11607,443,7579,4028,211,232
DorianSyruss,add,0,0,0,0,0,0,0,0
jobbautista9,add,0,0,0,0,0,0,0,0
zt4r-z,add,0,0,0,0,0,0,0,0
RealUnOriginal,add,0,0,0,0,0,0,0,0
clowningtimes,add,20,15,109,31,58,51,18,13
danielhdezller,add,0,16,0,9164,0,0,9057,107
abhiyanluitel,add,0,0,0,0,0,0,0,0
YelenaMerzlyakova,add,0,0,0,0,0,0,0,0
arpitchaudhary03,add,3,0,12,0,6,6,0,0
BlakeGeo,add,0,0,0,0,0,0,0,0
pablorodriguez,add,6,3,423,22917,228,195,22831,86
pktparticle-zz,add,0,0,0,0,0,0,0,0
avk4714,add,0,0,0,0,0,0,0,0
shadilverceo,add,0,0,0,0,0,0,0,0
byoo24,add,0,0,0,0,0,0,0,0
sakuraPPLLWWHELP,add,0,0,0,0,0,0,0,0
padraicflynn,add,0,0,0,0,0,0,0,0
XAzertyX,add,0,0,0,0,0,0,0,0
saaadol,add,22,0,4939379,0,2478887,2460492,0,0
Symstract,add,9,13,1210,44957,1108,102,44667,290
Jak-Kav,add,7,0,293,0,165,128,0,0
JamesGelok,add,16,6,79092,13,76763,2329,5,8
TheCowboySmoocher,add,5,4,40,10,34,6,4,6
gaikwadshantanu12,add,5,13,266075,18046,263782,2293,18018,28
IZELDAVALERIANO,add,0,0,0,0,0,0,0,0
dmrcmelis,add,0,0,0,0,0,0,0,0
cemetery-drive,add,0,0,0,0,0,0,0,0
nibukdk,add,29,0,44823,0,44053,770,0,0
prabhjot-singh-gogana,add,0,0,0,0,0,0,0,0
VISCHIOS-KING,autism,0,0,0,0,0,0,0,0
silverskiies,add,0,0,0,0,0,0,0,0
Yarmiplay,add,26,36,2334,11463,2237,97,10119,1344
brinkdinges,add,0,51,0,37653,0,0,1579,36074
Mutegisamuel,add,0,57,0,59894,0,0,50220,9674
JaseGrable,add,17,23,3525,20699,2193,1332,20339,360
CasperTheSillyGhost0,add,14,0,77,0,56,21,0,0
ClintWeathers,add,0,0,0,0,0,0,0,0
WOMYNxH4CKERS,add,0,0,0,0,0,0,0,0
C4nn1bal,add,0,0,0,0,0,0,0,0
Bobbyzain,add,62,0,12470,0,12287,183,0,0
JoseAld,add,5494,3,1854734,16082,1854053,681,15938,144
Yatin-Singla,add,330,250,154182,8912,136289,17893,6588,2324
gblend,add,61,0,4434,0,4430,4,0,0
tjoels,add,0,717,0,27480,0,0,18970,8510
Ssecily,add,0,0,0,0,0,0,0,0
